Disease,Symptoms,Treatment
Apple_scab,"Small olive-coloured areas appear on young leaves, later turn black, and may coalesce. Black circular spots appear on fruit.",Occurs almost everywhere apples are grown. Infection reduces fruit size and quality.
Apple___Black_rot,"Leaf lesions start as very small purple spots. As they grow larger, there is a brownish-tan center with darker margins and a purple outline that resemble a frog’s eye. Symptoms on the fruit appear at the calyx end as brown/rotted lesions. As the lesions enlarge, they form a number of concentric rings ","Remove mummified fruit, dead trees, dead or dying infected limbs. Prune out cankersto greatly reduce the amount of available inoculum."
Apple___Cedar_apple_rust,"On apple and crab-apple trees, look for pale yellow pinhead sized spots on the upper surface of the leaves shortly after bloom. These gradually enlarge to bright orange-yellow spots which make the disease easy to identify. Orange spots may develop on the fruit as well. Heavily infected leaves may drop prematurely.","Choose resistant cultivars when available. Rake up and dispose of fallen leaves and other debris from under trees.Apply preventative, disease-fighting fungicides labeled for use on apples weekly, starting with bud break, to protect trees from spores being released by the juniper host.Remove galls from infected junipers. In some cases, juniper plants should be removed entirely"
Apple___healthy,,
Cherry_(including_sour)___healthy,,
Cherry_(including_sour)___Powdery_mildew,"Initial symptoms, often occurring 7 to 10 days after the onset of the first irrigation, are light roughly-circular, powdery looking patches on young, susceptible leaves (newly unfolded, and light green expanding leaves).  ","Pruning. Humid conditions favor cherry powdery mildew. A well pruned canopy will promote more air flow and leaf drying, reducing these humid conditions favorable for disease. Pruning will also help to achieve good spray coverage."
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,"Symptoms of gray leaf spot are usually first noticed in the lower leaves. Initially, lesions of gray leaf spot begin as a small dot with a yellow halo. Lesions will elongate over time running parallel to the veins becoming pale brown to gray and rectangular in shape with blunt ends.","No biological control is available to control this disease. Always consider an integrated approach with preventive measures and biological treatments if available. Foliar fungicide treatment is a way to manage the disease if it occurs at early stages but it has to be weighted against the weather conditions, the potential yield loss and the susceptibility of the plant. Fungicides containing pyraclostrobin and strobilurin, or combinations of azoxystrobin and propiconazole, prothioconazole and trifloxystrobin work well to control the fungus."
Corn_(maize)___Common_rust_,"Common rust produces rust-colored to dark brown, elongated pustules on both leaf surfaces. The pustules contain rust spores that are cinnamon brown in color. Pustules darken as they age. Leaves, as well as sheaths, can be infected. ",Cultural control of Rust disease in Maize: Remove the alternate hosts. Collect the remains of the crop and destroy by burning or burying. 
Corn_(maize)___healthy,,
Corn_(maize)___Northern_Leaf_Blight,"Typical symptoms of northern corn leaf blight are canoe-shaped lesions 1 inch to 6 inches long. The lesions are initially bordered by gray-green margins. They eventually turn tan colored and may contain dark areas of fungal sporulation. Lesions begin on the lower leaves and then spread to upper leaves. Severe symptoms can progress rapidly, resulting in blighted leaves.","Ways to change cropping practices to control the disease include reducing the amount of infected residue left in a field, managing weeds to improve airflow and reduce humidity, and encouraging residue decomposition with tillage. If possible, planting in low areas that receive heavy dew and fog should be avoided. A combination of crop rotation for one to two years followed by tillage is recommended to prevent NCLB disease development.
"
